@relation 'glass-weka.filters.unsupervised.attribute.NumericToNominal-R11-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.MergeManyValues-Clast-Llarge-R1,2,3-unset-class-temporarily-weka.filters.unsupervised.attribute.MergeManyValues-Clast-Lless-R1,2,3-unset-class-temporarily-weka.filters.supervised.instance.SMOTE-C2-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C2-K5-P50.0-S1'

@attribute b numeric
@attribute c numeric
@attribute d numeric
@attribute f numeric
@attribute e numeric
@attribute g numeric
@attribute h numeric
@attribute i numeric
@attribute j numeric
@attribute k {large,less}

@data
1.51905,13.6,3.62,1.11,72.64,0.14,8.76,0,0,large
1.51977,13.81,3.58,1.32,71.72,0.12,8.67,0.69,0,large
1.52172,13.51,3.86,0.88,71.79,0.23,9.54,0,0.11,large
1.52227,14.17,3.81,0.78,71.35,0,9.69,0,0,large
1.52172,13.48,3.74,0.9,72.01,0.18,9.61,0,0.07,large
1.52099,13.69,3.59,1.12,71.96,0.09,9.4,0,0,large
1.52152,13.05,3.65,0.87,72.22,0.19,9.85,0,0.17,large
1.52152,13.05,3.65,0.87,72.32,0.19,9.85,0,0.17,large
1.52152,13.12,3.58,0.9,72.2,0.23,9.82,0,0.16,large
1.523,13.31,3.58,0.82,71.99,0.12,10.17,0,0.03,large
1.51574,14.86,3.67,1.74,71.87,0.16,7.36,0,0.12,large
1.51848,13.64,3.87,1.27,71.96,0.54,8.32,0,0.32,large
1.51593,13.09,3.59,1.52,73.1,0.67,7.83,0,0,large
1.51631,13.34,3.57,1.57,72.87,0.61,7.89,0,0,large
1.51596,13.02,3.56,1.54,73.11,0.72,7.9,0,0,large
1.5159,13.02,3.58,1.51,73.12,0.69,7.96,0,0,large
1.51645,13.44,3.61,1.54,72.39,0.66,8.03,0,0,large
1.51627,13,3.58,1.54,72.83,0.61,8.04,0,0,large
1.51613,13.92,3.52,1.25,72.88,0.37,7.94,0,0.14,large
1.5159,12.82,3.52,1.9,72.86,0.69,7.97,0,0,large
1.51592,12.86,3.52,2.12,72.66,0.69,7.97,0,0,large
1.51593,13.25,3.45,1.43,73.17,0.61,7.86,0,0,large
1.51646,13.41,3.55,1.25,72.81,0.68,8.1,0,0,large
1.51594,13.09,3.52,1.55,72.87,0.68,8.05,0,0.09,large
1.51409,14.25,3.09,2.08,72.28,1.1,7.08,0,0,large
1.51625,13.36,3.58,1.49,72.72,0.45,8.21,0,0,large
1.51569,13.24,3.49,1.47,73.25,0.38,8.03,0,0,large
1.51645,13.4,3.49,1.52,72.65,0.67,8.08,0,0.1,large
1.51618,13.01,3.5,1.48,72.89,0.6,8.12,0,0,large
1.5164,12.55,3.48,1.87,73.23,0.63,8.08,0,0.09,large
1.51841,12.93,3.74,1.11,72.28,0.64,8.96,0,0.22,large
1.51605,12.9,3.44,1.45,73.06,0.44,8.27,0,0,large
1.51588,13.12,3.41,1.58,73.26,0.07,8.39,0,0.19,large
1.5159,13.24,3.34,1.47,73.1,0.39,8.22,0,0,large
1.51629,12.71,3.33,1.49,73.28,0.67,8.24,0,0,large
1.5186,13.36,3.43,1.43,72.26,0.51,8.6,0,0,large
1.51841,13.02,3.62,1.06,72.34,0.64,9.13,0,0.15,large
1.51743,12.2,3.25,1.16,73.55,0.62,8.9,0,0.24,large
1.51689,12.67,2.88,1.71,73.21,0.73,8.54,0,0,large
1.51811,12.96,2.96,1.43,72.92,0.6,8.79,0.14,0,large
1.51655,12.75,2.85,1.44,73.27,0.57,8.79,0.11,0.22,large
1.5173,12.35,2.72,1.63,72.87,0.7,9.23,0,0,large
1.5182,12.62,2.76,0.83,73.81,0.35,9.42,0,0.2,large
1.52725,13.8,3.15,0.66,70.57,0.08,11.64,0,0,large
1.5241,13.83,2.9,1.17,71.15,0.08,10.79,0,0,large
1.52475,11.45,0,1.88,72.19,0.81,13.24,0,0.34,large
1.53125,10.73,0,2.1,69.81,0.58,13.3,3.15,0.28,large
1.53393,12.3,0,1,70.16,0.12,16.19,0,0.24,large
1.52222,14.43,0,1,72.67,0.1,11.52,0,0.08,large
1.51818,13.72,0,0.56,74.45,0,10.99,0,0,large
1.52664,11.23,0,0.77,73.21,0,14.68,0,0,large
1.52739,11.02,0,0.75,73.08,0,14.96,0,0,large
1.52777,12.64,0,0.67,72.02,0.06,14.4,0,0,large
1.51892,13.46,3.83,1.26,72.55,0.57,8.21,0,0.14,large
1.51847,13.1,3.97,1.19,72.44,0.6,8.43,0,0,large
1.51846,13.41,3.89,1.33,72.38,0.51,8.28,0,0,large
1.51829,13.24,3.9,1.41,72.33,0.55,8.31,0,0.1,large
1.51708,13.72,3.68,1.81,72.06,0.64,7.88,0,0,large
1.51673,13.3,3.64,1.53,72.53,0.65,8.03,0,0.29,large
1.51652,13.56,3.57,1.47,72.45,0.64,7.96,0,0,large
1.51844,13.25,3.76,1.32,72.4,0.58,8.42,0,0,large
1.51663,12.93,3.54,1.62,72.96,0.64,8.03,0,0.21,large
1.51687,13.23,3.54,1.48,72.84,0.56,8.1,0,0,large
1.51707,13.48,3.48,1.71,72.52,0.62,7.99,0,0,large
1.52177,13.2,3.68,1.15,72.75,0.54,8.52,0,0,large
1.51872,12.93,3.66,1.56,72.51,0.58,8.55,0,0.12,large
1.51667,12.94,3.61,1.26,72.75,0.56,8.6,0,0,large
1.52081,13.78,2.28,1.43,71.99,0.49,9.85,0,0.17,large
1.52068,13.55,2.09,1.67,72.18,0.53,9.57,0.27,0.17,large
1.5202,13.98,1.35,1.63,71.76,0.39,10.56,0,0.18,large
1.52177,13.75,1.01,1.36,72.19,0.33,11.14,0,0,large
1.52614,13.7,0,1.36,71.24,0.19,13.44,0,0.1,large
1.51813,13.43,3.98,1.18,72.49,0.58,8.15,0,0,large
1.518,13.71,3.93,1.54,71.81,0.54,8.21,0,0.15,large
1.51811,13.33,3.85,1.25,72.78,0.52,8.12,0,0,large
1.51789,13.19,3.9,1.3,72.33,0.55,8.44,0,0.28,large
1.51806,13,3.8,1.08,73.07,0.56,8.38,0,0.12,large
1.51711,12.89,3.62,1.57,72.96,0.61,8.11,0,0,large
1.51674,12.79,3.52,1.54,73.36,0.66,7.9,0,0,large
1.51674,12.87,3.56,1.64,73.14,0.65,7.99,0,0,large
1.5169,13.33,3.54,1.61,72.54,0.68,8.11,0,0,large
1.51851,13.2,3.63,1.07,72.83,0.57,8.41,0.09,0.17,large
1.51662,12.85,3.51,1.44,73.01,0.68,8.23,0.06,0.25,large
1.51709,13,3.47,1.79,72.72,0.66,8.18,0,0,large
1.5166,12.99,3.18,1.23,72.97,0.58,8.81,0,0.24,large
1.51839,12.85,3.67,1.24,72.57,0.62,8.68,0,0.35,large
1.51769,13.65,3.66,1.11,72.77,0.11,8.6,0,0,large
1.5161,13.33,3.53,1.34,72.67,0.56,8.33,0,0,large
1.5167,13.24,3.57,1.38,72.7,0.56,8.44,0,0.1,large
1.51643,12.16,3.52,1.35,72.89,0.57,8.53,0,0,large
1.51665,13.14,3.45,1.76,72.48,0.6,8.38,0,0.17,large
1.52127,14.32,3.9,0.83,71.5,0,9.49,0,0,large
1.51779,13.64,3.65,0.65,73,0.06,8.93,0,0,large
1.5161,13.42,3.4,1.22,72.69,0.59,8.32,0,0,large
1.51694,12.86,3.58,1.31,72.61,0.61,8.79,0,0,large
1.51646,13.04,3.4,1.26,73.01,0.52,8.58,0,0,large
1.51655,13.41,3.39,1.28,72.64,0.52,8.65,0,0,large
1.52121,14.03,3.76,0.58,71.79,0.11,9.65,0,0,large
1.51776,13.53,3.41,1.52,72.04,0.58,8.79,0,0,large
1.51796,13.5,3.36,1.63,71.94,0.57,8.81,0,0.09,large
1.51832,13.33,3.34,1.54,72.14,0.56,8.99,0,0,large
1.51934,13.64,3.54,0.75,72.65,0.16,8.89,0.15,0.24,large
1.52211,14.19,3.78,0.91,71.36,0.23,9.14,0,0.37,large
1.51514,14.01,2.68,3.5,69.89,1.68,5.87,2.2,0,less
1.51915,12.73,1.85,1.86,72.69,0.6,10.09,0,0,less
1.52171,11.56,1.88,1.56,72.86,0.47,11.41,0,0,less
1.52151,11.03,1.71,1.56,73.44,0.58,11.62,0,0,less
1.51969,12.64,0,1.65,73.75,0.38,11.53,0,0,less
1.51666,12.86,0,1.83,73.88,0.97,10.17,0,0,less
1.51994,13.27,0,1.76,73.03,0.47,11.32,0,0,less
1.52369,13.44,0,1.58,72.22,0.32,12.24,0,0,less
1.51316,13.02,0,3.04,70.48,6.21,6.96,0,0,less
1.51321,13,0,3.02,70.7,6.21,6.93,0,0,less
1.52043,13.38,0,1.4,72.25,0.33,12.5,0,0,less
1.52058,12.85,1.61,2.17,72.18,0.76,9.7,0.24,0.51,less
1.52119,12.97,0.33,1.51,73.39,0.13,11.27,0,0.28,less
1.51905,14,2.39,1.56,72.37,0,9.57,0,0,less
1.51937,13.79,2.41,1.19,72.76,0,9.77,0,0,less
1.51829,14.46,2.24,1.62,72.38,0,9.26,0,0,less
1.51852,14.09,2.19,1.66,72.67,0,9.32,0,0,less
1.51299,14.4,1.74,1.54,74.55,0,7.59,0,0,less
1.51888,14.99,0.78,1.74,72.5,0,9.95,0,0,less
1.51916,14.15,0,2.09,72.74,0,10.88,0,0,less
1.51969,14.56,0,0.56,73.48,0,11.22,0,0,less
1.51115,17.38,0,0.34,75.41,0,6.65,0,0,less
1.51131,13.69,3.2,1.81,72.81,1.76,5.43,1.19,0,less
1.51838,14.32,3.26,2.22,71.25,1.46,5.79,1.63,0,less
1.52315,13.44,3.34,1.23,72.38,0.6,8.83,0,0,less
1.52247,14.86,2.2,2.06,70.26,0.76,9.76,0,0,less
1.52365,15.79,1.83,1.31,70.43,0.31,8.61,1.68,0,less
1.51613,13.88,1.78,1.79,73.1,0,8.67,0.76,0,less
1.51602,14.85,0,2.38,73.28,0,8.76,0.64,0.09,less
1.51623,14.2,0,2.79,73.46,0.04,9.04,0.4,0.09,less
1.51719,14.75,0,2,73.02,0,8.53,1.59,0.08,less
1.51683,14.56,0,1.98,73.29,0,8.52,1.57,0.07,less
1.51545,14.14,0,2.68,73.39,0.08,9.07,0.61,0.05,less
1.51556,13.87,0,2.54,73.23,0.14,9.41,0.81,0.01,less
1.51727,14.7,0,2.34,73.28,0,8.95,0.66,0,less
1.51531,14.38,0,2.66,73.1,0.04,9.08,0.64,0,less
1.51609,15.01,0,2.51,73.05,0.05,8.83,0.53,0,less
1.51508,15.15,0,2.25,73.5,0,8.34,0.63,0,less
1.51653,11.95,0,1.19,75.18,2.7,8.93,0,0,less
1.51514,14.85,0,2.42,73.72,0,8.39,0.56,0,less
1.51658,14.8,0,1.99,73.11,0,8.28,1.71,0,less
1.51617,14.95,0,2.27,73.3,0,8.71,0.67,0,less
1.51732,14.95,0,1.8,72.99,0,8.61,1.55,0,less
1.51645,14.94,0,1.87,73.11,0,8.67,1.38,0,less
1.51831,14.39,0,1.82,72.86,1.41,6.47,2.88,0,less
1.5164,14.37,0,2.74,72.85,0,9.45,0.54,0,less
1.51623,14.14,0,2.88,72.61,0.08,9.18,1.06,0,less
1.51685,14.92,0,1.99,73.06,0,8.4,1.59,0,less
1.52065,14.36,0,2.02,73.42,0,8.44,1.64,0,less
1.51651,14.38,0,1.94,73.61,0,8.48,1.57,0,less
1.51711,14.23,0,2.08,73.36,0,8.62,1.67,0,less
1.515466,14.136306,2.701017,2.65665,70.856606,1.646398,5.857234,1.884179,0,less
1.520167,12.323404,1.858822,1.708055,72.709714,0.49983,10.961058,0,0,less
1.521534,11.321384,1.879175,1.56,72.873582,0.547551,11.467756,0,0,less
1.521188,12.426335,1.394151,1.562137,73.373972,0.560414,11.457881,0,0,less
1.517128,12.729439,0,1.74374,73.800343,0.54007,11.376564,0,0,less
1.519642,12.814518,0,1.746597,73.836631,0.708505,10.855624,0,0,less
1.519674,13.503895,0,1.805154,72.871634,0.237529,11.313231,0,0,less
1.521879,13.404731,0,1.454179,72.226139,0.322549,12.442258,0,0,less
1.516966,13.143501,0,2.648643,72.037534,4.420208,6.513823,0.8762,0,less
1.515844,14.302975,0.499583,2.45154,71.153189,5.622562,6.226675,0.785436,0,less
1.52014,13.348759,0,1.493237,72.469078,0.419934,12.08306,0,0,less
1.519724,12.814949,1.820346,1.939283,72.395849,0.699871,9.805804,0.064842,0.05776,less
1.520644,13.071597,0.231288,1.531063,73.189172,0.218851,11.299834,0,0.103468,less
1.519232,13.860975,2.408146,1.4688,72.466911,0,9.637544,0,0,less
1.519187,13.509244,2.087041,1.277816,72.757057,0.494576,9.954777,0,0,less
1.516899,14.395916,1.883682,1.672102,73.014031,0,8.711953,0.149484,0,less
1.518881,13.920495,2.20097,1.238732,72.696309,0,9.557166,0,0,less
1.513907,14.580251,0.445855,1.861469,73.916083,0,8.000175,0.268058,0,less
1.517625,14.995358,0.040679,2.027707,72.515359,0.038585,9.328519,0.511871,0,less
1.517931,14.178649,0,2.516454,72.802945,0,10.522076,0.496952,0,less
1.519701,13.637866,0,1.104883,73.268619,0.211953,11.268656,0,0,less
1.512487,16.823114,0,1.057845,73.601462,0,7.450782,0.177715,0,less
1.511908,13.84643,2.684812,3.465484,72.36164,1.685573,5.632185,2.057625,0,less
1.516767,14.214412,3.224322,1.887945,72.053289,1.564694,5.770886,1.363276,0,less
1.516935,13.523233,2.479176,1.598919,72.606047,0.599539,8.81305,0.747432,0,less
1.51968,14.726202,2.286147,1.900146,71.419851,0.363083,9.70009,0,0,less
1.521332,15.22082,0.999043,1.444547,71.492921,0.249412,8.61,1.631861,0,less
1.516166,13.808538,1.843236,1.298635,72.845728,0,8.788475,0.177815,0,less
1.51546,14.85,0,2.400022,73.322496,0,8.560002,0.599309,0.027118,less
1.516273,14.308897,0,2.749911,73.178557,0.035214,9.249339,0.50401,0.084882,less
1.51662,14.778169,0,1.993004,73.032724,0,8.364751,1.624266,0.0237,less
1.520213,14.451131,0,1.987322,73.335153,0,8.500057,1.625768,0.020445,less
1.515349,14.356725,0,2.660121,73.127837,0.043858,9.077457,0.626498,0.027264,less
1.51631,14.302188,0,2.609956,73.180612,0.015121,9.427279,0.774934,0.003304,less
1.516825,14.49156,0,2.408698,73.318053,0.009197,9.045219,0.62006,0.029106,less
1.516551,14.431531,0,2.387385,73.108844,0.004407,9.076404,0.652239,0,less
1.515425,15.041951,0,2.376717,73.187573,0.026423,8.660377,0.533418,0,less
1.515647,14.984341,0,2.368688,73.292388,0,8.412824,0.631656,0.083008,less
1.516831,12.231917,0,1.409872,75.115604,1.836877,10.419104,0,0,less
1.515826,14.96543,0,2.50706,73.218688,0.037047,8.764151,0.544008,0,less
1.516573,14.872686,0,1.90501,73.11,0,8.630947,1.497614,0,less
1.515781,15.136193,0,2.262126,73.49317,0,8.528205,0.631208,0,less
1.5172,14.927781,0,1.974609,73.035516,0,8.548317,1.582539,0,less
1.51657,14.94307,0,1.853265,73.053353,0,8.63766,1.516825,0,less
1.516992,14.535796,0,1.919457,73.284647,0.082607,8.385365,2.082864,0.034177,less
1.516166,13.981594,0,2.621526,72.911969,0.085646,9.430525,0.787513,0.004717,less
1.515937,14.064617,0,2.654717,72.858454,0.138413,9.361166,1.042532,0.00626,less
1.516603,14.929837,0,1.966435,73.083777,0,8.476867,1.57699,0,less
1.520274,14.309124,0,2.041657,73.38145,0,8.473272,1.667798,0,less
1.519503,14.376394,0,2.005819,73.572747,0,8.477366,1.594118,0,less
1.516942,14.319243,0,2.037506,73.348728,0,8.577407,1.615824,0.050867,less
1.521361,11.495832,1.570012,1.561077,73.37404,0.567653,11.472539,0,0,less
1.513519,13.620525,1.335975,3.01441,70.756221,5.103425,6.070546,0.20696,0,less
1.51958,12.825444,1.671178,1.928846,72.294761,0.602703,10.013411,0.039284,0.426817,less
1.518996,13.94797,2.319516,1.267465,72.469275,0,9.564515,0,0,less
1.518766,14.037194,2.382792,1.479967,72.716632,0,9.492284,0,0,less
1.519686,14.263373,0,0.999962,73.385718,0.087119,11.272533,0,0,less
1.514403,13.878891,3.012478,2.03969,71.384366,1.659264,5.448671,1.507726,0,less
1.518244,14.261097,3.250676,2.021867,72.027568,1.526007,5.779434,1.485057,0,less
1.522329,15.45951,2.119812,1.414693,71.614303,0.212219,8.625907,0.922306,0,less
1.516135,13.876995,1.832125,1.506272,72.867116,0,8.746264,0.755138,0,less
1.516403,14.71791,0,2.342844,73.28,0,8.78995,0.640844,0.055924,less
1.515531,14.182461,0,2.732026,73.430766,0.07442,9.06813,0.499192,0.087489,less
1.516962,14.705113,0,1.990254,73.160758,0,8.520318,1.578889,0.076915,less
1.515398,14.146702,0,2.668902,73.109919,0.048787,9.07317,0.632471,0.017163,less
1.515917,14.984495,0,2.509264,73.20524,0.040625,8.778836,0.533394,0,less
1.516862,14.860023,0,1.982511,73.07576,0,8.369905,1.636154,0,less
1.517041,14.94406,0,1.820706,73.006804,0,8.628527,1.547533,0,less
1.517185,14.938124,0,1.918069,73.046016,0,8.645009,1.459943,0,less
1.517647,14.339013,0,2.020929,73.376796,0,8.520211,1.631061,0.04812,less
1.515251,14.096652,2.701,2.745991,69.905985,1.666594,5.86401,1.943809,0,less
1.520604,11.772601,1.869451,1.661371,72.823785,0.504358,11.446884,0,0,less
1.521039,12.69425,1.166876,1.531685,73.305541,0.262642,11.449702,0,0.058986,less
1.523362,13.431107,0,1.46773,72.221436,0.322017,12.251104,0,0,less
1.514434,13.211391,0.387565,3.090174,72.202388,2.509548,5.933606,1.852545,0,less
1.515541,14.226077,0.762962,2.556266,70.932848,5.396437,6.019847,1.189769,0,less
1.519985,13.151653,0.044616,1.24936,73.211858,0.213997,11.270605,0,0.092488,less
1.519101,13.940523,2.399465,1.516464,72.628708,0,9.48954,0,0,less
1.519231,13.827212,2.377174,1.420225,72.597496,0.269678,9.724428,0,0,less
1.516643,14.319575,1.847605,1.510777,72.992173,0,8.751569,0.165191,0,less
1.518942,13.778228,2.187873,1.269745,72.744834,0.287904,9.76465,0,0,less
1.514906,14.608245,0.049122,1.872217,73.661462,0,8.027914,0.547285,0,less
1.516497,15.009602,0.021497,2.148523,72.538336,0.037261,9.098917,0.512435,0,less
1.515372,15.087877,0,1.285134,73.550292,0,8.409036,0.512042,0.067985,less
1.515989,14.205207,3.021815,2.811221,70.236491,1.677598,5.813915,2.013705,0,less
1.522379,14.826313,2.222317,2.036077,70.801592,0.469352,9.744809,0,0,less
1.518406,15.072374,0.931529,1.921531,72.485724,0.05478,8.587613,1.593286,0,less
1.517093,14.080388,1.953287,1.476187,72.675305,0,9.197119,0.160198,0,less
1.516605,14.876788,0,1.9852,73.074254,0,8.379298,1.605014,0.017268,less
1.520043,14.415851,0,1.997292,73.526381,0,8.497925,1.607881,0.001082,less
1.515713,14.356046,0,2.656827,73.148498,0.029151,9.311427,0.71502,0.004975,less
1.515927,14.473368,0,2.531049,73.118161,0.023726,9.071921,0.636434,0.014086,less
1.515819,14.96503,0,2.379303,73.194032,0.009883,8.749747,0.59978,0.086963,less
1.515878,14.986625,0,2.507897,73.208237,0.03824,8.792233,0.541063,0,less
1.5168,14.908085,0,1.917875,73.040983,0,8.597492,1.523932,0,less
1.517089,14.940072,0,1.861255,73.047208,0,8.61946,1.546421,0,less
1.518546,14.507488,0,1.962281,73.357976,0.022579,8.392597,2.06665,0.020216,less
1.5162,14.314394,0,2.72204,72.85186,0.011368,9.414801,0.644881,0.00335,less
1.516594,14.939411,0,1.857609,73.077582,0,8.614192,1.525622,0,less
1.51975,14.309883,0,2.040719,73.358166,0,8.530701,1.642836,0.039237,less
1.517121,14.326361,0,2.007617,73.399912,0,8.566461,1.601616,0.025576,less
1.518593,14.345292,0,2.01655,73.336436,0,8.551241,1.620655,0.050622,less
