@relation 'ecoli-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.MergeManyValues-Clast-L1-R3,4-unset-class-temporarily-weka.filters.unsupervised.attribute.MergeManyValues-Clast-L1-R5,7-unset-class-temporarily-weka.filters.unsupervised.attribute.MergeManyValues-Clast-L0-R1,2,3,4,5-unset-class-temporarily-weka.filters.supervised.instance.SMOTE-C1-K5-P3522.0-S1'

@attribute 0.49 numeric
@attribute 0.29 numeric
@attribute 0.48 numeric
@attribute 0.50 numeric
@attribute 0.56 numeric
@attribute 0.24 numeric
@attribute 0.35 numeric
@attribute cp {1,0}

@data
0.18,0.3,0.48,0.5,0.46,0.24,0.35,0
0.47,0.29,0.48,0.5,0.51,0.33,0.43,0
0.24,0.43,0.48,0.5,0.54,0.52,0.59,0
0.25,0.37,0.48,0.5,0.41,0.33,0.42,0
0.52,0.57,0.48,0.5,0.42,0.47,0.54,0
0.25,0.37,0.48,0.5,0.43,0.26,0.36,0
0.35,0.48,0.48,0.5,0.56,0.4,0.48,0
0.26,0.26,0.48,0.5,0.34,0.25,0.35,0
0.44,0.51,0.48,0.5,0.47,0.26,0.36,0
0.37,0.5,0.48,0.5,0.42,0.36,0.45,0
0.44,0.42,0.48,0.5,0.42,0.25,0.2,0
0.24,0.43,0.48,0.5,0.37,0.28,0.38,0
0.42,0.3,0.48,0.5,0.48,0.26,0.36,0
0.48,0.42,0.48,0.5,0.45,0.25,0.35,0
0.41,0.48,0.48,0.5,0.51,0.44,0.51,0
0.44,0.28,0.48,0.5,0.43,0.27,0.37,0
0.29,0.41,0.48,0.5,0.48,0.38,0.46,0
0.34,0.28,0.48,0.5,0.41,0.35,0.44,0
0.41,0.43,0.48,0.5,0.45,0.31,0.41,0
0.29,0.47,0.48,0.5,0.41,0.23,0.34,0
0.34,0.55,0.48,0.5,0.58,0.31,0.41,0
0.36,0.56,0.48,0.5,0.43,0.45,0.53,0
0.4,0.46,0.48,0.5,0.52,0.49,0.56,0
0.5,0.49,0.48,0.5,0.49,0.46,0.53,0
0.52,0.44,0.48,0.5,0.37,0.36,0.42,0
0.5,0.51,0.48,0.5,0.27,0.23,0.34,0
0.53,0.42,0.48,0.5,0.16,0.29,0.39,0
0.34,0.46,0.48,0.5,0.52,0.35,0.44,0
0.4,0.42,0.48,0.5,0.37,0.27,0.27,0
0.41,0.43,0.48,0.5,0.5,0.24,0.25,0
0.3,0.45,0.48,0.5,0.36,0.21,0.32,0
0.31,0.47,0.48,0.5,0.29,0.28,0.39,0
0.64,0.76,0.48,0.5,0.45,0.35,0.38,0
0.35,0.37,0.48,0.5,0.3,0.34,0.43,0
0.57,0.54,0.48,0.5,0.37,0.28,0.33,0
0.65,0.55,0.48,0.5,0.34,0.37,0.28,0
0.51,0.46,0.48,0.5,0.58,0.31,0.41,0
0.38,0.4,0.48,0.5,0.63,0.25,0.35,0
0.24,0.57,0.48,0.5,0.63,0.34,0.43,0
0.38,0.26,0.48,0.5,0.54,0.16,0.28,0
0.33,0.47,0.48,0.5,0.53,0.18,0.29,0
0.24,0.34,0.48,0.5,0.38,0.3,0.4,0
0.26,0.5,0.48,0.5,0.44,0.32,0.41,0
0.44,0.49,0.48,0.5,0.39,0.38,0.4,0
0.43,0.32,0.48,0.5,0.33,0.45,0.52,0
0.49,0.43,0.48,0.5,0.49,0.3,0.4,0
0.47,0.28,0.48,0.5,0.56,0.2,0.25,0
0.32,0.33,0.48,0.5,0.6,0.06,0.2,0
0.34,0.35,0.48,0.5,0.51,0.49,0.56,0
0.35,0.34,0.48,0.5,0.46,0.3,0.27,0
0.38,0.3,0.48,0.5,0.43,0.29,0.39,0
0.38,0.44,0.48,0.5,0.43,0.2,0.31,0
0.41,0.51,0.48,0.5,0.58,0.2,0.31,0
0.34,0.42,0.48,0.5,0.41,0.34,0.43,0
0.51,0.49,0.48,0.5,0.53,0.14,0.26,0
0.25,0.51,0.48,0.5,0.37,0.42,0.5,0
0.29,0.28,0.48,0.5,0.5,0.42,0.5,0
0.25,0.26,0.48,0.5,0.39,0.32,0.42,0
0.24,0.41,0.48,0.5,0.49,0.23,0.34,0
0.17,0.39,0.48,0.5,0.53,0.3,0.39,0
0.04,0.31,0.48,0.5,0.41,0.29,0.39,0
0.61,0.36,0.48,0.5,0.49,0.35,0.44,0
0.34,0.51,0.48,0.5,0.44,0.37,0.46,0
0.28,0.33,0.48,0.5,0.45,0.22,0.33,0
0.4,0.46,0.48,0.5,0.42,0.35,0.44,0
0.23,0.34,0.48,0.5,0.43,0.26,0.37,0
0.37,0.44,0.48,0.5,0.42,0.39,0.47,0
0,0.38,0.48,0.5,0.42,0.48,0.55,0
0.39,0.31,0.48,0.5,0.38,0.34,0.43,0
0.3,0.44,0.48,0.5,0.49,0.22,0.33,0
0.27,0.3,0.48,0.5,0.71,0.28,0.39,0
0.17,0.52,0.48,0.5,0.49,0.37,0.46,0
0.36,0.42,0.48,0.5,0.53,0.32,0.41,0
0.3,0.37,0.48,0.5,0.43,0.18,0.3,0
0.26,0.4,0.48,0.5,0.36,0.26,0.37,0
0.4,0.41,0.48,0.5,0.55,0.22,0.33,0
0.22,0.34,0.48,0.5,0.42,0.29,0.39,0
0.44,0.35,0.48,0.5,0.44,0.52,0.59,0
0.27,0.42,0.48,0.5,0.37,0.38,0.43,0
0.16,0.43,0.48,0.5,0.54,0.27,0.37,0
0.06,0.61,0.48,0.5,0.49,0.92,0.37,0
0.44,0.52,0.48,0.5,0.43,0.47,0.54,0
0.63,0.47,0.48,0.5,0.51,0.82,0.84,0
0.23,0.48,0.48,0.5,0.59,0.88,0.89,0
0.34,0.49,0.48,0.5,0.58,0.85,0.8,0
0.43,0.4,0.48,0.5,0.58,0.75,0.78,0
0.46,0.61,0.48,0.5,0.48,0.86,0.87,0
0.27,0.35,0.48,0.5,0.51,0.77,0.79,0
0.52,0.39,0.48,0.5,0.65,0.71,0.73,0
0.29,0.47,0.48,0.5,0.71,0.65,0.69,0
0.55,0.47,0.48,0.5,0.57,0.78,0.8,0
0.12,0.67,0.48,0.5,0.74,0.58,0.63,0
0.4,0.5,0.48,0.5,0.65,0.82,0.84,0
0.73,0.36,0.48,0.5,0.53,0.91,0.92,0
0.84,0.44,0.48,0.5,0.48,0.71,0.74,0
0.48,0.45,0.48,0.5,0.6,0.78,0.8,0
0.54,0.49,0.48,0.5,0.4,0.87,0.88,0
0.48,0.41,0.48,0.5,0.51,0.9,0.88,0
0.5,0.66,0.48,0.5,0.31,0.92,0.92,0
0.72,0.46,0.48,0.5,0.51,0.66,0.7,0
0.47,0.55,0.48,0.5,0.58,0.71,0.75,0
0.33,0.56,0.48,0.5,0.33,0.78,0.8,0
0.64,0.58,0.48,0.5,0.48,0.78,0.73,0
0.54,0.57,0.48,0.5,0.56,0.81,0.83,0
0.47,0.59,0.48,0.5,0.52,0.76,0.79,0
0.63,0.5,0.48,0.5,0.59,0.85,0.86,0
0.49,0.42,0.48,0.5,0.53,0.79,0.81,0
0.31,0.5,0.48,0.5,0.57,0.84,0.85,0
0.74,0.44,0.48,0.5,0.55,0.88,0.89,0
0.33,0.45,0.48,0.5,0.45,0.88,0.89,0
0.45,0.4,0.48,0.5,0.61,0.74,0.77,0
0.71,0.4,0.48,0.5,0.71,0.7,0.74,0
0.5,0.37,0.48,0.5,0.66,0.64,0.69,0
0.66,0.53,0.48,0.5,0.59,0.66,0.66,0
0.6,0.61,0.48,0.5,0.54,0.67,0.71,0
0.83,0.37,0.48,0.5,0.61,0.71,0.74,0
0.34,0.51,0.48,0.5,0.67,0.9,0.9,0
0.63,0.54,0.48,0.5,0.65,0.79,0.81,0
0.7,0.4,0.48,0.5,0.56,0.86,0.83,0
0.6,0.5,1,0.5,0.54,0.77,0.8,0
0.16,0.51,0.48,0.5,0.33,0.39,0.48,0
0.74,0.7,0.48,0.5,0.66,0.65,0.69,0
0.2,0.46,0.48,0.5,0.57,0.78,0.81,0
0.89,0.55,0.48,0.5,0.51,0.72,0.76,0
0.7,0.46,0.48,0.5,0.56,0.78,0.73,0
0.12,0.43,0.48,0.5,0.63,0.7,0.74,0
0.61,0.52,0.48,0.5,0.54,0.67,0.52,0
0.33,0.37,0.48,0.5,0.46,0.65,0.69,0
0.63,0.65,0.48,0.5,0.66,0.67,0.71,0
0.41,0.51,0.48,0.5,0.53,0.75,0.78,0
0.34,0.67,0.48,0.5,0.52,0.76,0.79,0
0.58,0.34,0.48,0.5,0.56,0.87,0.81,0
0.59,0.56,0.48,0.5,0.55,0.8,0.82,0
0.51,0.4,0.48,0.5,0.57,0.62,0.67,0
0.5,0.57,0.48,0.5,0.71,0.61,0.66,0
0.6,0.46,0.48,0.5,0.45,0.81,0.83,0
0.37,0.47,0.48,0.5,0.39,0.76,0.79,0
0.58,0.55,0.48,0.5,0.57,0.7,0.74,0
0.36,0.47,0.48,0.5,0.51,0.69,0.72,0
0.39,0.41,0.48,0.5,0.52,0.72,0.75,0
0.35,0.51,0.48,0.5,0.61,0.71,0.74,0
0.31,0.44,0.48,0.5,0.5,0.79,0.82,0
0.61,0.66,0.48,0.5,0.46,0.87,0.88,0
0.48,0.49,0.48,0.5,0.52,0.77,0.71,0
0.11,0.5,0.48,0.5,0.58,0.72,0.68,0
0.31,0.36,0.48,0.5,0.58,0.94,0.94,0
0.68,0.51,0.48,0.5,0.71,0.75,0.78,0
0.69,0.39,0.48,0.5,0.57,0.76,0.79,0
0.52,0.54,0.48,0.5,0.62,0.76,0.79,0
0.46,0.59,0.48,0.5,0.36,0.76,0.23,0
0.36,0.45,0.48,0.5,0.38,0.79,0.17,0
0,0.51,0.48,0.5,0.35,0.67,0.44,0
0.1,0.49,0.48,0.5,0.41,0.67,0.21,0
0.3,0.51,0.48,0.5,0.42,0.61,0.34,0
0.61,0.47,0.48,0.5,0,0.8,0.32,0
0.63,0.75,0.48,0.5,0.64,0.73,0.66,0
0.71,0.52,0.48,0.5,0.64,1,0.99,0
0.85,0.53,0.48,0.5,0.53,0.52,0.35,1
0.63,0.49,0.48,0.5,0.54,0.76,0.79,1
0.75,0.55,1,1,0.4,0.47,0.3,1
0.7,0.39,1,0.5,0.51,0.82,0.84,1
0.72,0.42,0.48,0.5,0.65,0.77,0.79,0
0.79,0.41,0.48,0.5,0.66,0.81,0.83,0
0.83,0.48,0.48,0.5,0.65,0.76,0.79,0
0.69,0.43,0.48,0.5,0.59,0.74,0.77,0
0.79,0.36,0.48,0.5,0.46,0.82,0.7,0
0.78,0.33,0.48,0.5,0.57,0.77,0.79,0
0.75,0.37,0.48,0.5,0.64,0.7,0.74,0
0.59,0.29,0.48,0.5,0.64,0.75,0.77,0
0.67,0.37,0.48,0.5,0.54,0.64,0.68,0
0.66,0.48,0.48,0.5,0.54,0.7,0.74,0
0.64,0.46,0.48,0.5,0.48,0.73,0.76,0
0.76,0.71,0.48,0.5,0.5,0.71,0.75,0
0.84,0.49,0.48,0.5,0.55,0.78,0.74,0
0.77,0.55,0.48,0.5,0.51,0.78,0.74,0
0.81,0.44,0.48,0.5,0.42,0.67,0.68,0
0.58,0.6,0.48,0.5,0.59,0.73,0.76,0
0.63,0.42,0.48,0.5,0.48,0.77,0.8,0
0.62,0.42,0.48,0.5,0.58,0.79,0.81,0
0.86,0.39,0.48,0.5,0.59,0.89,0.9,0
0.81,0.53,0.48,0.5,0.57,0.87,0.88,0
0.87,0.49,0.48,0.5,0.61,0.76,0.79,0
0.47,0.46,0.48,0.5,0.62,0.74,0.77,0
0.76,0.41,0.48,0.5,0.5,0.59,0.62,0
0.7,0.53,0.48,0.5,0.7,0.86,0.87,0
0.64,0.45,0.48,0.5,0.67,0.61,0.66,0
0.81,0.52,0.48,0.5,0.57,0.78,0.8,0
0.73,0.26,0.48,0.5,0.57,0.75,0.78,0
0.49,0.61,1,0.5,0.56,0.71,0.74,0
0.88,0.42,0.48,0.5,0.52,0.73,0.75,0
0.84,0.54,0.48,0.5,0.75,0.92,0.7,0
0.63,0.51,0.48,0.5,0.64,0.72,0.76,0
0.86,0.55,0.48,0.5,0.63,0.81,0.83,0
0.79,0.54,0.48,0.5,0.5,0.66,0.68,0
0.57,0.38,0.48,0.5,0.06,0.49,0.33,0
0.78,0.44,0.48,0.5,0.45,0.73,0.68,0
0.78,0.68,0.48,0.5,0.83,0.4,0.29,0
0.63,0.69,0.48,0.5,0.65,0.41,0.28,0
0.67,0.88,0.48,0.5,0.73,0.5,0.25,0
0.61,0.75,0.48,0.5,0.51,0.33,0.33,0
0.67,0.84,0.48,0.5,0.74,0.54,0.37,0
0.74,0.9,0.48,0.5,0.57,0.53,0.29,0
0.73,0.84,0.48,0.5,0.86,0.58,0.29,0
0.75,0.76,0.48,0.5,0.83,0.57,0.3,0
0.77,0.57,0.48,0.5,0.88,0.53,0.2,0
0.74,0.78,0.48,0.5,0.75,0.54,0.15,0
0.68,0.76,0.48,0.5,0.84,0.45,0.27,0
0.56,0.68,0.48,0.5,0.77,0.36,0.45,0
0.65,0.51,0.48,0.5,0.66,0.54,0.33,0
0.52,0.81,0.48,0.5,0.72,0.38,0.38,0
0.64,0.57,0.48,0.5,0.7,0.33,0.26,0
0.6,0.76,1,0.5,0.77,0.59,0.52,0
0.69,0.59,0.48,0.5,0.77,0.39,0.21,0
0.63,0.49,0.48,0.5,0.79,0.45,0.28,0
0.71,0.71,0.48,0.5,0.68,0.43,0.36,0
0.68,0.63,0.48,0.5,0.73,0.4,0.3,0
0.77,0.57,1,0.5,0.37,0.54,0.01,1
0.66,0.49,1,0.5,0.54,0.56,0.36,1
0.71,0.46,1,0.5,0.52,0.59,0.3,1
0.67,0.55,1,0.5,0.66,0.58,0.16,1
0.68,0.49,1,0.5,0.62,0.55,0.28,1
0.74,0.49,0.48,0.5,0.42,0.54,0.36,0
0.7,0.61,0.48,0.5,0.56,0.52,0.43,0
0.66,0.86,0.48,0.5,0.34,0.41,0.36,0
0.73,0.78,0.48,0.5,0.58,0.51,0.31,0
0.65,0.57,0.48,0.5,0.47,0.47,0.51,0
0.72,0.86,0.48,0.5,0.17,0.55,0.21,0
0.67,0.7,0.48,0.5,0.46,0.45,0.33,0
0.67,0.81,0.48,0.5,0.54,0.49,0.23,0
0.67,0.61,0.48,0.5,0.51,0.37,0.38,0
0.63,1,0.48,0.5,0.35,0.51,0.49,0
0.57,0.59,0.48,0.5,0.39,0.47,0.33,0
0.71,0.71,0.48,0.5,0.4,0.54,0.39,0
0.66,0.74,0.48,0.5,0.31,0.38,0.43,0
0.67,0.81,0.48,0.5,0.25,0.42,0.25,0
0.64,0.72,0.48,0.5,0.49,0.42,0.19,0
0.68,0.82,0.48,0.5,0.38,0.65,0.56,0
0.32,0.39,0.48,0.5,0.53,0.28,0.38,0
0.7,0.64,0.48,0.5,0.47,0.51,0.47,0
0.63,0.57,0.48,0.5,0.49,0.7,0.2,0
0.74,0.82,0.48,0.5,0.49,0.49,0.41,0
0.63,0.86,0.48,0.5,0.39,0.47,0.34,0
0.63,0.83,0.48,0.5,0.4,0.39,0.19,0
0.63,0.71,0.48,0.5,0.6,0.4,0.39,0
0.71,0.86,0.48,0.5,0.4,0.54,0.32,0
0.68,0.78,0.48,0.5,0.43,0.44,0.42,0
0.64,0.84,0.48,0.5,0.37,0.45,0.4,0
0.74,0.47,0.48,0.5,0.5,0.57,0.42,0
0.75,0.84,0.48,0.5,0.35,0.52,0.33,0
0.63,0.65,0.48,0.5,0.39,0.44,0.35,0
0.69,0.67,0.48,0.5,0.3,0.39,0.24,0
0.7,0.71,0.48,0.5,0.42,0.84,0.85,0
0.69,0.8,0.48,0.5,0.46,0.57,0.26,0
0.64,0.66,0.48,0.5,0.41,0.39,0.2,0
0.63,0.8,0.48,0.5,0.46,0.31,0.29,0
0.66,0.71,0.48,0.5,0.41,0.5,0.35,0
0.69,0.59,0.48,0.5,0.46,0.44,0.52,0
0.68,0.67,0.48,0.5,0.49,0.4,0.34,0
0.64,0.78,0.48,0.5,0.5,0.36,0.38,0
0.62,0.78,0.48,0.5,0.47,0.49,0.54,0
0.76,0.73,0.48,0.5,0.44,0.39,0.39,0
0.64,0.81,0.48,0.5,0.37,0.39,0.44,0
0.29,0.39,0.48,0.5,0.52,0.4,0.48,0
0.62,0.83,0.48,0.5,0.46,0.36,0.4,0
0.56,0.54,0.48,0.5,0.43,0.37,0.3,0
0.69,0.66,0.48,0.5,0.41,0.5,0.25,0
0.69,0.65,0.48,0.5,0.63,0.48,0.41,0
0.43,0.59,0.48,0.5,0.52,0.49,0.56,0
0.74,0.56,0.48,0.5,0.47,0.68,0.3,0
0.71,0.57,0.48,0.5,0.48,0.35,0.32,0
0.61,0.6,0.48,0.5,0.44,0.39,0.38,0
0.59,0.61,0.48,0.5,0.42,0.42,0.37,0
0.74,0.74,0.48,0.5,0.31,0.53,0.52,0
0.729174,0.523891,0.562981,0.5,0.611986,0.534613,0.286023,1
0.79707,0.54013,0.540303,0.5,0.615786,0.529405,0.278142,1
0.656562,0.511991,0.48,0.5,0.530234,0.689202,0.471013,1
0.730198,0.506916,0.48,0.5,0.531847,0.522564,0.420859,1
0.742747,0.524937,0.48,0.5,0.538457,0.61757,0.76793,1
0.698716,0.528467,0.788037,0.5,0.540786,0.539574,0.281097,1
0.812878,0.504597,0.936783,0.5,0.529486,0.532848,0.318156,1
0.695371,0.509694,0.735555,0.5,0.557728,0.54152,0.282631,1
0.785381,0.53485,0.896602,0.5,0.597442,0.551604,0.28159,1
0.801567,0.498883,0.597012,0.5,0.538036,0.553453,0.351631,1
0.789051,0.503823,0.673894,0.5,0.533042,0.55233,0.354274,1
0.632838,0.52387,0.48,0.5,0.531237,0.668068,0.562019,1
0.837945,0.506365,0.627685,0.5,0.53259,0.531235,0.356424,1
0.747323,0.496014,0.663988,0.5,0.556288,0.546293,0.297903,1
0.734469,0.549412,0.928894,0.5,0.639678,0.546186,0.285655,1
0.651577,0.5275,0.48,0.5,0.539992,0.534856,0.607981,1
0.773921,0.51588,0.998648,0.5,0.52124,0.579783,0.311114,1
0.780607,0.529021,0.48,0.5,0.534638,0.562538,0.647494,1
0.740289,0.493365,0.857118,0.5,0.530084,0.541855,0.358355,1
0.700298,0.504784,0.963025,0.5,0.597918,0.524729,0.347047,1
0.841024,0.547926,0.632006,0.5,0.598515,0.545058,0.186506,1
0.790298,0.501961,0.866756,0.5,0.522362,0.542587,0.324364,1
0.848241,0.528358,0.48,0.5,0.539478,0.609675,0.362288,1
0.678102,0.49135,0.48,0.5,0.534452,0.551253,0.453169,1
0.812411,0.49399,0.48,0.5,0.533925,0.619963,0.369802,1
0.818374,0.538896,0.911439,0.5,0.612933,0.538202,0.337575,1
0.789688,0.541587,0.751126,0.5,0.573636,0.528273,0.340201,1
0.791646,0.528705,0.48,0.5,0.536091,0.562879,0.363039,1
0.719752,0.497834,0.926698,0.5,0.527946,0.547629,0.333103,1
0.712319,0.509403,0.66147,0.5,0.584557,0.540446,0.309138,1
0.814058,0.507928,0.822567,0.5,0.530008,0.524237,0.359835,1
0.805772,0.472896,0.560901,0.5,0.526803,0.558478,0.323887,1
0.730148,0.500255,0.48,0.5,0.536776,0.628978,0.470817,1
0.770108,0.497213,0.983931,0.5,0.55456,0.520337,0.294418,1
0.842423,0.515592,0.530634,0.5,0.534614,0.557229,0.352381,1
0.632206,0.467592,0.810889,0.5,0.538123,0.596854,0.388798,1
0.783712,0.516324,0.48,0.5,0.538411,0.673438,0.584518,1
0.655529,0.49,0.509572,0.5,0.56944,0.574731,0.341212,1
0.64131,0.465787,0.823717,0.5,0.525925,0.60063,0.76628,1
0.784398,0.497322,0.48,0.5,0.537507,0.568796,0.478512,1
0.787992,0.526121,0.48,0.5,0.53096,0.543149,0.461911,1
0.634602,0.479118,0.944484,0.5,0.516032,0.780987,0.796498,1
0.670421,0.485062,0.795675,0.5,0.535105,0.696724,0.535575,1
0.6438,0.486002,0.728754,0.5,0.531751,0.670027,0.479805,1
0.651715,0.46321,0.639165,0.5,0.535187,0.803029,0.83135,1
0.635714,0.412853,0.666856,0.5,0.528987,0.797911,0.834223,1
0.632734,0.486736,0.658694,0.5,0.539964,0.71536,0.632824,1
0.70476,0.484798,0.56609,0.5,0.520079,0.634795,0.388683,1
0.653899,0.49,0.673459,0.5,0.607187,0.554375,0.568594,1
0.6805,0.437891,0.983011,0.5,0.517772,0.811021,0.816653,1
0.68844,0.488394,0.749977,0.5,0.525835,0.673882,0.756887,1
0.746373,0.515159,0.48,0.5,0.53069,0.697079,0.616767,1
0.654834,0.464414,0.795161,0.5,0.523429,0.71677,0.42709,1
0.673823,0.49,0.740256,0.5,0.540564,0.710142,0.605332,1
0.642217,0.49,0.525973,0.5,0.54,0.709506,0.361913,1
0.655489,0.49,0.773877,0.5,0.54,0.692297,0.583775,1
0.835551,0.51434,0.48,0.5,0.535964,0.743262,0.713171,1
0.634892,0.49,0.733172,0.5,0.54,0.606454,0.436898,1
0.643436,0.49,0.688381,0.5,0.54,0.746025,0.520839,1
0.679346,0.475245,0.922427,0.5,0.530489,0.662707,0.6505,1
0.732513,0.524853,0.48,0.5,0.532495,0.673371,0.507298,1
0.658871,0.49,0.572488,0.5,0.54,0.723936,0.646605,1
0.739919,0.51829,0.48,0.5,0.531973,0.530495,0.525564,1
0.723991,0.510776,0.48,0.5,0.533613,0.655865,0.619438,1
0.633971,0.49,0.692415,0.5,0.54,0.613147,0.636885,1
0.684598,0.398213,0.793959,0.5,0.526054,0.763464,0.827251,1
0.634043,0.49,0.585888,0.5,0.54,0.589243,0.390284,1
0.664627,0.492997,0.48,0.5,0.532884,0.727944,0.547345,1
0.649456,0.429467,0.96365,0.5,0.533243,0.763404,0.828576,1
0.63199,0.430759,0.945232,0.5,0.524856,0.77185,0.805399,1
0.725553,0.55,1,0.98736,0.620215,0.486828,0.282893,1
0.719677,0.55,1,0.8773,0.579949,0.508431,0.257578,1
0.748255,0.55,1,0.54871,0.512819,0.518224,0.175405,1
0.70665,0.508301,1,0.798882,0.409817,0.491936,0.296172,1
0.738371,0.533322,1,0.586759,0.450259,0.476528,0.290411,1
0.745875,0.511609,1,0.583159,0.401967,0.495916,0.297296,1
0.738698,0.542338,1,0.722163,0.473954,0.522548,0.3,1
0.668969,0.523099,1,0.747409,0.417768,0.515423,0.340211,1
0.709221,0.492631,1,0.944914,0.610294,0.547698,0.290494,1
0.710806,0.513118,1,0.94127,0.583534,0.474788,0.281774,1
0.760025,0.55108,1,0.622501,0.383884,0.522718,0.011446,1
0.737017,0.522175,1,0.851547,0.533776,0.479644,0.286608,1
0.714902,0.55,1,0.898011,0.490792,0.478742,0.254901,1
0.76301,0.553252,1,0.566915,0.398608,0.483618,0.033227,1
0.746691,0.492319,1,0.753213,0.515884,0.532344,0.326257,1
0.691756,0.497981,1,0.524309,0.434515,0.494301,0.320749,1
0.712804,0.504107,1,0.842264,0.476037,0.583198,0.3,1
0.721362,0.55,1,0.606719,0.590847,0.487187,0.296137,1
0.752151,0.561135,1,0.849667,0.379468,0.472443,0.265826,1
0.685273,0.531151,1,0.515575,0.487371,0.473274,0.300846,1
0.734124,0.521076,1,0.641247,0.457094,0.518151,0.354817,1
0.716827,0.527103,1,0.661838,0.58703,0.487198,0.287176,1
0.691569,0.503224,1,0.97407,0.527617,0.481146,0.33132,1
0.730799,0.470145,1,0.59644,0.448006,0.531654,0.3,1
0.738375,0.525349,1,0.93205,0.448173,0.532269,0.281681,1
